epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.5423,1.16938,2.65876,1.33163,0.00444,1,0.60864,0.4873,0.97261,2.81615,0.89431,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05
2,22.7321,1.06141,2.88222,1.287,0.00444,1,0.62882,0.50017,0.9603,2.81745,0.89231,0.00029802,9.934e-05,0.00029802,9.934e-05,0.00029802,9.934e-05,0.00029802,9.934e-05
3,32.7209,1.09149,2.79203,1.16938,0.00444,1,0.63667,0.50627,0.94845,2.81743,0.89278,0.000473664,0.000157888,0.000473664,0.000157888,0.000473664,0.000157888,0.000473664,0.000157888
4,42.6619,1.10782,2.67312,1.28465,0.00444,1,0.66167,0.52502,0.9274,2.81827,0.89064,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644
5,52.2469,1.11016,2.68929,1.24269,0.00444,1,0.67682,0.53562,0.91212,2.8186,0.88642,0.000817824,0.000272608,0.000817824,0.000272608,0.000817824,0.000272608,0.000817824,0.000272608
6,62.4649,0.93699,2.71721,1.11306,0.00444,1,0.78071,0.63686,0.87773,2.81624,0.88543,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878
7,72.2279,0.92589,2.62755,1.17845,0.00444,1,0.78071,0.63686,0.85735,2.81,0.88301,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416
8,82.5249,0.985,2.5476,1.13133,0.00444,1,0.78071,0.63686,0.83079,2.80233,0.88311,0.00131624,0.000438748,0.00131624,0.000438748,0.00131624,0.000438748,0.00131624,0.000438748
9,92.4659,1.03909,2.53759,1.164,0.00444,1,0.82833,0.67496,0.81306,2.80114,0.879,0.00147763,0.000492544,0.00147763,0.000492544,0.00147763,0.000492544,0.00147763,0.000492544
10,102.746,0.98373,2.57326,1.14672,0.00444,1,0.84917,0.644,0.79796,2.80311,0.87362,0.00163664,0.000545548,0.00163664,0.000545548,0.00163664,0.000545548,0.00163664,0.000545548
11,113.525,1.07952,2.55481,1.21864,0.00444,1,0.895,0.72829,0.78985,2.80074,0.86995,0.00179328,0.00059776,0.00179328,0.00059776,0.00179328,0.00059776,0.00179328,0.00059776
12,123.719,1.0873,2.51185,1.25718,0.00444,1,0.895,0.68354,0.77189,2.79086,0.86788,0.00194754,0.00064918,0.00194754,0.00064918,0.00194754,0.00064918,0.00194754,0.00064918
13,134.256,0.90367,2.46765,1.11137,0.00444,1,0.895,0.69355,0.75477,2.77999,0.8691,0.00209942,0.000699808,0.00209942,0.000699808,0.00209942,0.000699808,0.00209942,0.000699808
14,144.589,0.93555,2.38344,1.12373,0.00444,1,0.895,0.70584,0.75266,2.76157,0.87175,0.00224893,0.000749644,0.00224893,0.000749644,0.00224893,0.000749644,0.00224893,0.000749644
15,154.652,1.01607,2.4116,1.26086,0.00444,1,0.895,0.70584,0.75266,2.76157,0.87175,0.00239606,0.000798688,0.00239606,0.000798688,0.00239606,0.000798688,0.00239606,0.000798688
16,164.909,1.16721,2.41633,1.34987,0.00444,1,0.945,0.74414,0.74892,2.73494,0.87277,0.00254082,0.00084694,0.00254082,0.00084694,0.00254082,0.00084694,0.00254082,0.00084694
17,175.292,0.99455,2.38011,1.12915,0.00444,1,0.945,0.73185,0.74066,2.70867,0.86567,0.0026832,0.0008944,0.0026832,0.0008944,0.0026832,0.0008944,0.0026832,0.0008944
18,185.218,0.82211,2.24274,1.0441,0.00444,1,0.945,0.73185,0.74066,2.70867,0.86567,0.0028232,0.000941068,0.0028232,0.000941068,0.0028232,0.000941068,0.0028232,0.000941068
19,195.525,0.84577,2.13663,1.0028,0.00444,1,0.945,0.73185,0.72637,2.66795,0.85099,0.00296083,0.000986944,0.00296083,0.000986944,0.00296083,0.000986944,0.00296083,0.000986944
20,205.719,0.90066,2.20848,1.10403,0.00444,1,0.945,0.75227,0.68317,2.60587,0.83695,0.00309608,0.00103203,0.00309608,0.00103203,0.00309608,0.00103203,0.00309608,0.00103203
21,215.83,0.89694,2.0471,1.088,0.00444,1,0.945,0.75227,0.68317,2.60587,0.83695,0.00322896,0.00107632,0.00322896,0.00107632,0.00322896,0.00107632,0.00322896,0.00107632
22,226.571,0.85671,1.96022,1.03684,0.20401,1,0.945,0.77392,0.661,2.50953,0.83304,0.00335946,0.00111982,0.00335946,0.00111982,0.00335946,0.00111982,0.00335946,0.00111982
23,236.922,0.89737,1.95224,1.1076,0.20401,1,0.945,0.77392,0.661,2.50953,0.83304,0.00348758,0.00116253,0.00348758,0.00116253,0.00348758,0.00116253,0.00348758,0.00116253
24,248.643,0.92671,2.04476,1.11361,0.92667,0.75,0.945,0.77392,0.63368,2.37867,0.83263,0.00361333,0.00120444,0.00361333,0.00120444,0.00361333,0.00120444,0.00361333,0.00120444
25,259.499,0.86379,1.84016,1.05851,0.92667,0.75,0.945,0.77392,0.63368,2.37867,0.83263,0.0037367,0.00124557,0.0037367,0.00124557,0.0037367,0.00124557,0.0037367,0.00124557
26,270.438,0.7862,1.81304,1.02042,0.76929,0.84647,0.945,0.80404,0.60469,2.22208,0.81593,0.0038577,0.0012859,0.0038577,0.0012859,0.0038577,0.0012859,0.0038577,0.0012859
27,281.181,0.9065,1.74207,1.0596,0.76929,0.84647,0.945,0.80404,0.60469,2.22208,0.81593,0.00397632,0.00132544,0.00397632,0.00132544,0.00397632,0.00132544,0.00397632,0.00132544
28,292.487,0.91553,1.74531,1.12294,0.75017,1,0.945,0.80899,0.57361,2.02925,0.8013,0.00409256,0.00136419,0.00409256,0.00136419,0.00409256,0.00136419,0.00409256,0.00136419
29,303.499,0.91681,1.85831,1.13211,0.75017,1,0.945,0.80899,0.57361,2.02925,0.8013,0.00420643,0.00140214,0.00420643,0.00140214,0.00420643,0.00140214,0.00420643,0.00140214
30,314.512,0.93789,1.64202,1.16214,0.75017,1,0.945,0.80899,0.57361,2.02925,0.8013,0.00431792,0.00143931,0.00431792,0.00143931,0.00431792,0.00143931,0.00431792,0.00143931
31,325.505,0.79664,1.58458,1.01417,0.77017,1,0.945,0.76253,0.57011,1.84702,0.79244,0.00442704,0.00147568,0.00442704,0.00147568,0.00442704,0.00147568,0.00442704,0.00147568
32,335.892,0.86919,1.56013,1.05582,0.77017,1,0.945,0.76253,0.57011,1.84702,0.79244,0.00453378,0.00151126,0.00453378,0.00151126,0.00453378,0.00151126,0.00453378,0.00151126
33,346.732,0.88013,1.73347,1.11483,0.7717,1,0.945,0.81715,0.57398,1.67331,0.78536,0.00463814,0.00154605,0.00463814,0.00154605,0.00463814,0.00154605,0.00463814,0.00154605
34,357.214,0.79775,1.46223,1.02714,0.7717,1,0.945,0.81715,0.57398,1.67331,0.78536,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
